Filename: 
Analysis Date: Wed Feb 22 17:28:02 2023
cellID,type,score,distance,frequency,percent_loc,x_loc,y_lo
1,OHC,0.9999693632125854,None,None,None,333.370361328125,374.2227783203125
2,OHC,0.9998880624771118,None,None,None,1539.0836181640625,471.5973815917969
3,OHC,0.999707043170929,None,None,None,1652.741943359375,477.98284912109375
4,OHC,0.9996317625045776,None,None,None,1572.2425537109375,435.49090576171875
5,OHC,0.9989712238311768,None,None,None,343.563720703125,315.428955078125
6,OHC,0.9989160299301147,None,None,None,1617.457763671875,481.57830810546875
7,OHC,0.9985505938529968,None,None,None,699.856201171875,379.87060546875
8,OHC,0.9983667731285095,None,None,None,920.146728515625,412.24896240234375
9,OHC,0.9943960905075073,None,None,None,158.21934509277344,643.39697265625
10,OHC,0.9923506379127502,None,None,None,756.3237915039062,466.4398193359375
11,OHC,0.9918786287307739,None,None,None,203.9635009765625,649.2276611328125
12,OHC,0.9911192059516907,None,None,None,120.96139526367188,558.1053466796875
13,OHC,0.9804609417915344,None,None,None,1679.349609375,490.082275390625
14,OHC,0.9707814455032349,None,None,None,289.62860107421875,646.1710205078125
15,OHC,0.9696415066719055,None,None,None,329.7746276855469,558.0772705078125
16,OHC,0.9653398990631104,None,None,None,397.415283203125,531.5919189453125
17,IHC,0.9613189101219177,None,None,None,1089.055908203125,415.08599853515625
18,OHC,0.9537647366523743,None,None,None,231.88858032226562,584.124267578125
19,OHC,0.9532402753829956,None,None,None,172.8363800048828,576.5135498046875
20,OHC,0.9520076513290405,None,None,None,88.81837463378906,531.7162475585938
21,OHC,0.930037260055542,None,None,None,123.89704895019531,698.0828247070312
22,OHC,0.9239384531974792,None,None,None,1082.7464599609375,673.8156127929688
23,OHC,0.9058395624160767,None,None,None,1139.9716796875,690.6732177734375
24,OHC,0.9036390781402588,None,None,None,234.953857421875,620.4346923828125
25,OHC,0.8870797753334045,None,None,None,454.2994384765625,563.315673828125
26,OHC,0.8730999231338501,None,None,None,394.2571105957031,296.847900390625
27,OHC,0.8268784284591675,None,None,None,1380.920654296875,416.94317626953125
28,OHC,0.8267589211463928,None,None,None,1173.7431640625,684.6830444335938
29,OHC,0.8221113681793213,None,None,None,1141.9732666015625,531.7686767578125
30,OHC,0.8175229430198669,None,None,None,1166.280517578125,733.1182250976562
31,OHC,0.8153824210166931,None,None,None,1303.82470703125,480.44012451171875
32,OHC,0.8142414689064026,None,None,None,653.1787719726562,415.3519287109375
33,OHC,0.8091953992843628,None,None,None,109.87709045410156,646.6022338867188
34,OHC,0.8035864233970642,None,None,None,132.59078979492188,513.4727783203125
35,OHC,0.7941216826438904,None,None,None,234.484619140625,526.6997680664062
36,OHC,0.793093204498291,None,None,None,663.8408203125,658.064208984375
37,OHC,0.7895434498786926,None,None,None,1054.28076171875,522.5845947265625
38,OHC,0.7824850082397461,None,None,None,1113.08740234375,638.2347412109375
39,OHC,0.7751998901367188,None,None,None,103.73655700683594,607.3792724609375
40,OHC,0.7666417360305786,None,None,None,398.05804443359375,673.75439453125
41,OHC,0.7640562653541565,None,None,None,377.54364013671875,574.81396484375
42,OHC,0.7541077136993408,None,None,None,1225.411376953125,672.9688720703125
43,OHC,0.7477233409881592,None,None,None,313.82855224609375,530.9361572265625
44,OHC,0.7351940870285034,None,None,None,267.1197509765625,425.9488830566406
45,OHC,0.7262876629829407,None,None,None,411.65625,584.43310546875
46,OHC,0.7028211951255798,None,None,None,351.27093505859375,517.6566162109375
47,OHC,0.6893451809883118,None,None,None,1192.55517578125,517.3477783203125
48,OHC,0.6807305216789246,None,None,None,163.96780395507812,706.8492431640625
49,OHC,0.6278946399688721,None,None,None,335.989501953125,432.087646484375
50,OHC,0.6197099685668945,None,None,None,1100.2386474609375,332.1869812011719
51,OHC,0.6129359006881714,None,None,None,86.392578125,590.559814453125
52,OHC,0.5873486995697021,None,None,None,443.2716064453125,609.4862670898438
53,IHC,0.5825518369674683,None,None,None,1058.0234375,313.06231689453125
54,OHC,0.5490145087242126,None,None,None,264.0462646484375,675.13134765625
55,OHC,0.5404853224754333,None,None,None,1572.267578125,302.1831359863281
56,OHC,0.5348629951477051,None,None,None,1163.964111328125,620.8573608398438
57,OHC,0.5228411555290222,None,None,None,197.26983642578125,557.0675659179688
58,OHC,0.5093240737915039,None,None,None,312.7215881347656,708.077392578125
59,OHC,0.49606266617774963,None,None,None,684.9608154296875,720.49462890625
60,OHC,0.4638374447822571,None,None,None,1078.0654296875,708.7307739257812
61,OHC,0.45852527022361755,None,None,None,1170.536865234375,647.0595703125
62,OHC,0.4415329098701477,None,None,None,486.8697509765625,609.9347534179688
63,OHC,0.41649898886680603,None,None,None,122.55696105957031,609.0996704101562
64,OHC,0.3602825403213501,None,None,None,1226.8978271484375,622.74169921875
65,OHC,0.35030174255371094,None,None,None,343.42840576171875,632.0634765625
66,OHC,0.34294405579566956,None,None,None,85.17494201660156,689.948486328125
67,OHC,0.33300209045410156,None,None,None,1216.6815185546875,574.5739135742188
68,OHC,0.31538131833076477,None,None,None,1101.408935546875,511.63592529296875
69,OHC,0.3135722875595093,None,None,None,413.4547119140625,264.386474609375
70,OHC,0.3125724792480469,None,None,None,362.7315673828125,598.1754150390625
71,OHC,0.29795894026756287,None,None,None,1086.3555908203125,561.491943359375
72,OHC,0.29084181785583496,None,None,None,1114.8438720703125,575.5291137695312
73,OHC,0.2771131694316864,None,None,None,1051.8956298828125,625.684326171875
74,OHC,0.2746284306049347,None,None,None,574.1365966796875,697.7257080078125
